name,lat,lng,id
Trailhead,44.626459,-63.923519,Other
Hazelnut Tree,44.626375,-63.923296,Tree
Big & Bent Apple Trees,44.626245,-63.923206,Tree
Pear Tree,44.626235,-63.923128,Tree
Cherry-HoneySuckle Arch,44.626174,-63.923098,Tree
Spruce Grove Start,44.626100,-63.923103,Other
Old Foundation,44.626089,-63.922964,Historical
Spruce Grove End,44.626003, -63.922846,Other
Big Grove Entrance,44.625959,-63.922715,Other
Well (off path),44.625875,-63.922742,Historical
Very Big Apple Tree,44.625831,-63.922568,Tree
Trail End,44.625837,-63.922404,Other
